sensorid;Column5;djup[mˆh];placering;typ;filtrerad
A81758FFFE04CDD8;2021-09-23 12:00;28.141;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 12:15;28.131;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 12:30;28.062;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 12:45;28.136;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 13:00;28.167;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 13:15;28.163;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 13:30;28.143;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 13:45;28.154;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 14:00;28.12;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 14:15;28.166;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 14:30;28.136;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 14:45;28.093;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 15:00;27.203;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 15:15;28.148;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 15:30;28.18;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 15:45;28.165;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 16:00;28.152;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 16:15;28.168;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 16:30;28.161;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 16:45;28.169;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 17:00;28.166;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 17:15;28.188;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 17:30;28.159;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 17:45;28.192;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 18:00;28.176;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 18:15;28.178;Ankdammen;NivÂ;FALSE
