fid;id;Sensor ID;Sensor typ;Placement;Möh.;X;Y;Coordinate system
1;1;A81758FFFE066012;Radar;Rör innan Lilljansberget;23,9;761164,5788;7088398,235;EPSG:3006
2;2;A81758FFFE046F4D;;Liljansberget träbro;23,1;761156,9409;7088533,405;EPSG:3006
3;3;A81758FFFE066024;;Under Lilljansvägen;25,9;761300,3326;7088770,012;EPSG:3006
4;4;A81758FFFE045996;;Mariehem rör;;761356,0281;7089049,875;EPSG:3006
5;5;A81758FFFE045989;;Mariehem träbro;26,9;761385,4547;7089250,715;EPSG:3006
6;6;A81758FFFE04CDD8;;Ankdammen;27,5;761327;7089639;EPSG:3006
